epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,799.447,1.35238,2.22294,0.01067,0.67535,0.62609,0.63737,0.39971,1.18758,1.09844,0.01181,0.00998162,0.00332721,0.00998162,0.00332721,0.00998162,0.00332721,0.00998162,0.00332721
2,1591.51,1.30492,1.34381,0.01051,0.63046,0.59503,0.57717,0.35952,1.28028,1.23307,0.01357,0.019586,0.00652866,0.019586,0.00652866,0.019586,0.00652866,0.019586,0.00652866
3,2382.61,1.41119,1.47491,0.01193,0.5333,0.48216,0.47192,0.27497,1.49288,1.61257,0.017,0.0287943,0.00959812,0.0287943,0.00959812,0.0287943,0.00959812,0.0287943,0.00959812
4,3175.04,1.48108,1.52743,0.01247,0.69402,0.59254,0.64125,0.39091,1.334,1.20321,0.01462,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3968.13,1.40751,1.39646,0.01167,0.6967,0.59729,0.65092,0.40801,1.29728,1.20434,0.01388,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4759.52,1.36743,1.32531,0.01144,0.73007,0.6434,0.69782,0.44659,1.25271,1.07069,0.01313,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5550.83,1.33179,1.24378,0.01082,0.74734,0.65519,0.71896,0.47141,1.2201,1.04715,0.01277,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6341.45,1.3026,1.19398,0.01069,0.7719,0.65222,0.73717,0.47775,1.20023,0.97988,0.01232,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7132.2,1.27298,1.15537,0.01032,0.78111,0.71255,0.77985,0.51531,1.15902,0.89886,0.01163,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7924.11,1.26629,1.11664,0.01018,0.80154,0.72196,0.79067,0.52993,1.12674,0.86874,0.01136,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8716.13,1.25511,1.10793,0.01002,0.80134,0.73958,0.81574,0.5504,1.12743,0.82299,0.01124,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9507.6,1.2312,1.0749,0.00968,0.81792,0.73513,0.81463,0.5534,1.09902,0.82161,0.01081,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,10295.8,1.21422,1.03553,0.00967,0.8179,0.75291,0.82875,0.56611,1.09075,0.79335,0.01063,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,11086.6,1.21083,1.0294,0.00959,0.83186,0.74722,0.83598,0.56865,1.07948,0.77274,0.01045,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,11880.3,1.19179,0.9947,0.00945,0.84234,0.76522,0.85025,0.58652,1.06628,0.74725,0.01028,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
